processed,shot_no,variation_no,prompt
true,1,1,"human, wide shot — A 1930s French village street corner at morning, cobblestone road lined with red-tiled rooftops, weathered plaster walls, and a hanging wooden bakery sign at the corner. An elderly baker, about 60, sturdy build, walks slowly toward his shop. He wears a soft brown cap, rolled-sleeve ochre shirt, cream apron dusted with flour, dark brown trousers, and worn leather shoes. His posture is steady but heavy with age, expression calm and thoughtful as he looks forward. Golden sunlight casts long angled shadows across the cobblestones, dust motes glowing in the beams. The atmosphere is peaceful, the village quiet, a sense of stillness at the day’s beginning. in Ghibli / RPG storybook watercolor style"
true,1,2,"human, low angle, medium shot — A cobblestone street in a small 1930s French village, with red-tiled roofs and faded painted shutters visible above. From a low angle, an elderly baker in his early 60s walks forward slowly, his worn leather shoes scuffing the cobblestones. He wears a soft brown cap tilted se side, creating golden beams and elongated shadows across the stones, soft painterly haze catching dust in the air. in Ghibli / RPG storybook watercolor style"
true,2,1,"human, wide shot, complex — In a shadowed cobblestone alley of a 1930s French village, five children clash violently. At the center, a small underweight boy, about 11 years old, wears an oversized dusty blue shirt with rolled sleeves, a faded cream undershirt, worn trousers, and scuffed leather shoes. He is crouched low, arms shielding his face, expression fearful. Surrounding him are four older children: a tall boy in a rolled-sleeve shirt and suspenders sneering down, a stocky boy in short trousers kicking dust forward, a thin lanky boy yanking the smaller boy's arm, and a short-haired girl in boots raising her foot to strike. Dust rises from their movements. Warm golden sunlight slices across the top of the alley wall, but the struggle happens in cool shadow, creating stark contrast. Weathered plaster walls, peeling shutters, and uneven cobblestones complete the scene. in Ghibli / RPG storybook watercolor style"
true,2,2,"human, close-up, complex — In a narrow cobblestone alley, a young underweight boy, about 11, wearing an oversized dusty blue shirt, cream undershirt, loose trousers, and worn shoes, huddles against the stone wall. His face is bruised, eyes wide with fear, arms raised defensively to block blows. Looming over him are four older children: the tall leader’s hand reaching into frame, a stocky boy’s leg mid-kick, the thin boy’s hand gripping the smaller boy’s shoulder, and the girl’s determined expression as she leans forward. Dust particles scatter in the air from the scuffle. Harsh shadow dominates the alley floor, while a sliver of golden sunlight cuts across the higher wall, creating dramatic tension. Weathered plaster, cracked shutters, and a broken wooden crate fill the background. in Ghibli / RPG storybook watercolor style"
true,3,1,"human, medium shot, complex — At the dusty cobblestone corner of a 1930s French village, an elderly baker in his early 60s stands in the foreground with one arm raised, shouting with protective authority, brows furrowed. He wears a soft brown cap, rolled ochre shirt, flour-dusted cream apron, dark trousers, and worn leather shoes. At midground, the young boy (about 11, underweight) leans against a weathered plaster wall, bruised cheek, split lip, trembling; he wears an oversized dusty blue shirt over a faded cream undershirt, loose trousers, and scuffed shoes, arms half-raised defensively, visibly shaken. In the background, four older children flee: tall boy with suspenders, stocky boy in short trousers, thin lanky boy with messy hair, short-haired girl in boots. Golden morning sunlight slices across upper walls while the alley floor remains in cool shadow, dust motes drifting. in Ghibli / RPG storybook watercolor style"
true,3,2,"human, low angle, over-shoulder, complex — From a low over-shoulder view near the boy, the frame includes the boy’s shaking forearms raised for protection, torn dusty blue sleeve, scraped knuckles, and the edge of his loose trousers and scuffed shoes on cobblestones. Facing him, the elderly baker, around 60, in brown cap, rolled ochre shirt, flour-streaked cream apron, dark trousers, and worn shoes, shouts with authority, one arm raised. Behind the baker, the four aggressors are caught mid-flight down the narrow alley: tall leader in suspenders, stocky boy, thin boy, short-haired girl in boots. Weathered plaster, peeling shutters, and a hanging wooden bakery sign establish place. Warm sunlight rakes across upper walls; deep alley shadows and drifting dust heighten tension. in Ghibli / RPG storybook watercolor style"
true,4,1,"human, medium two-shot, complex — On a quiet 1930s French village street corner, the baker kneels beside the injured boy. The baker (about 60, sturdy, soft brown cap, rolled ochre shirt, cream apron with flour smudges, dark trousers, worn leather shoes) places a steady arm around the boy’s shoulders, expression gentle and concerned. The boy (about 11, underweight, bruised cheek, split lip, dust-streaked face, slightly shaking) wears an oversized dusty blue shirt, faded cream undershirt, loose trousers, and scuffed shoes; posture collapsed, eyes glistening. Golden morning light creates long angled shadows across cobblestones; red-tiled roofs and a wooden bakery sign frame them; the alley behind now calm. Atmosphere warm and tender, dust motes glowing. in Ghibli / RPG storybook watercolor style"
true,4,2,"human, close-up, complex — A tight close-up two-shot: the baker’s weathered hand (rolled ochre sleeve, edge of cream apron) gently supports the boy’s shoulder while the boy’s tear-bright eyes, bruised cheek, and quivering mouth fill the frame. Hints of his dusty blue collar and cream undershirt show; the baker’s soft brown cap brim edges into view. Background softly blurred: warm sunlight catching floating flour/dust, cobblestone texture and faded plaster implied. Mood comforting and safe after chaos. in Ghibli / RPG storybook watercolor style"
true,5,1,"human, wide shot, complex — In a 1930s French corner bakery, the shop doorway opens into a cozy, cluttered storefront with wooden counters, flour jars, baskets of bread, and shelves stacked unevenly with loaves. The elderly baker, about 60 (soft brown cap, rolled ochre shirt, flour-dusted cream apron, dark trousers, worn leather shoes), walks just inside the threshold, one hand gently resting on the boy’s shoulder. The young boy, about 11 (oversized dusty blue shirt, faded cream undershirt, loose trousers, scuffed shoes), steps hesitantly inside, posture tentative, eyes wide with awe. Warm golden morning light streams through windows, dust motes and flour particles glowing across the cluttered shop; cobblestone street visible beyond the open door. Atmosphere safe, welcoming, intimate. in Ghibli / RPG storybook watercolor style"
true,5,2,"human, medium tracking shot, complex — From behind the boy’s shoulder as he takes his first steps into the bakery interior. His dusty blue shirt hangs loosely, trousers scuffed at the cuffs, shoes worn at the heel. His posture cautious, head tilted slightly upward, expression wide-eyed curiosity. Ahead of him, the elderly baker (brown cap, rolled ochre shirt, flour-smudged apron tied at the waist, dark trousers, sturdy shoes) leads with calm assurance. The interior is cluttered but warm, with bread baskets on the counter, wooden beams above, and flour dust in the air. Through the window, faint shapes of red rooftops glow. Amber sunlight illuminates wood and bread textures, making the shop feel sheltering and golden. in Ghibli / RPG storybook watercolor style"
true,6,1,"human, medium two-shot, complex — In the cozy interior of a 1930s French corner bakery, wooden counters stacked with loaves and flour jars line the walls, dust motes floating in warm amber light streaming through a window. The elderly baker, around 60 (soft brown cap, rolled ochre shirt, flour-dusted cream apron, dark trousers, worn leather shoes) leans forward slightly, hands resting on the counter, posture attentive, expression gentle but serious as he asks the boy a question. Across from him stands the young boy, about 11, underweight (oversized dusty blue shirt, faded cream undershirt, loose trousers, scuffed shoes), posture tense but listening, eyes lowered with uncertainty. The golden sunlight creates angled beams across the counter, highlighting the emotional stillness. in Ghibli / RPG storybook watercolor style"
true,6,2,"human, over-the-shoulder, complex — From a soft over-the-shoulder view behind the baker, the focus falls on the boy standing in the warm, cluttered bakery interior. He is small, fragile in frame, dusty blue shirt oversized, trousers worn, shoes scuffed, expression hesitant, shoulders hunched, eyes turned down as if ashamed. The baker’s rolled ochre sleeve and edge of his flour-streaked cream apron enter frame at foreground, showing his gentle, leaning posture as he speaks. In the background, shelves of round loaves and jars glow under golden window light, while faint flour particles drift in the air. Atmosphere tender, intimate, quiet. in Ghibli / RPG storybook watercolor style"
true,7,1,"human, close-up, simple — In the warm interior of a 1930s French bakery, a young boy, about 11, small and underweight, stands near a wooden counter. He wears an oversized dusty blue shirt, faded cream undershirt, loose trousers, and scuffed leather shoes. His face is bruised, eyes lowered, expression a mix of sadness and shame. His posture is slouched, shoulders hunched inward, hands loosely clutching the fabric of his shirt. Behind him, sunlight filters through a bakery window, casting warm amber beams across shelves of loaves and jars, with flour particles drifting in the air. The atmosphere is intimate and heavy with emotion. in Ghibli / RPG storybook watercolor style"
true,7,2,"human, medium shot, side angle, simple — In a sunlit bakery interior, the boy, around 11, frail and small, is seen in profile. He wears an oversized dusty blue shirt, cream undershirt, loose trousers, and worn shoes. His expression is meek and sorrowful, eyes cast downward, lips trembling as he admits he is alone. His posture is inward and defensive, arms drawn close to his body. The background shows a wooden shelf lined with round loaves, light from a window forming golden streaks on the wall, dust motes catching in the glow. The mood is quiet, tender, and heartbreaking. in Ghibli / RPG storybook watercolor style"
true,8,1,"human, medium two-shot, complex — Inside a 1930s French bakery, the elderly baker, around 60 (soft brown cap, rolled ochre shirt, flour-streaked cream apron, dark trousers, worn leather shoes) stands close to the boy, leaning slightly, his weathered face softened in quiet empathy, eyes studying the child. The boy, about 11, frail and small, bruised cheek, oversized dusty blue shirt, cream undershirt, loose trousers, scuffed shoes, looks downward, eyes distant and hollow, posture sagging with weariness. Warm amber sunlight filters through windows, catching flour motes and casting long streaks across wooden shelves stacked with bread loaves. Mood intimate, tender, quietly sorrowful. in Ghibli / RPG storybook watercolor style"
