shot_no,setting,characters,visual_description,ambiance,establishing_shot,detail_shot
1,"Dusty Street Corner – cobblestones, red roofs, bakery sign at corner",Baker,"Baker walks toward shop, morning stillness","Warm morning sun, long angled shadows","Wide shot – village edge, baker framed against rooftops","Low angle – baker’s shoes crunching on cobbles, dust rising"
2,"Street Corner, shadowed alley","Boy, Gang of 4",Gang swarms and beats the boy,Golden light cuts into alley gloom,"Wide – chaotic scuffle, silhouettes against wall","Close-up – boy’s face pressed to stone, dust scattering"
3,Street Corner,"Baker, Boy, Gang","Baker shouts, gang flees","Sunlight slicing through haze, sense of sudden calm",Medium – baker arms outstretched,POV – gang’s retreat down narrow alley
4,Street Corner,"Baker, Boy",Baker comforts bruised boy,"Warm light returns, tender atmosphere",Medium – baker’s arm around boy,Close-up – boy’s hollow eyes against baker’s chest
5,"Bakery Interior (shop) – cozy clutter, bread baskets","Baker, Boy",Baker leads boy inside shop,"Amber light from windows, flour dust catching beams",Wide – transition from street to interior,"Tracking – boy’s tentative steps, glancing at bread shelves"
6,Bakery Interior,"Baker, Boy",Baker asks about parents,"Warm amber, safe atmosphere",Medium two-shot across counter,Over-shoulder baker → boy
7,Bakery Interior,Boy,Boy says he’s alone,Golden light softens sadness,Close-up – boy’s downcast eyes,"Side profile – boy half-lit, shadow marking isolation"
8,Bakery Interior,"Baker, Boy",Baker perceives boy’s loneliness,"Still warmth, introspection",Medium – baker’s thoughtful gaze,Insert – boy’s hollow stare catching light beam
9,Visual Aside (Montage),—,Abandoned children imagery,Cooler muted tones,Wide – children scattered in streets,Abstract dissolve of faces blending with cobblestones
10,Bakery Interior,"Baker, Boy",Baker offers work,"Golden amber light, hopeful",Medium – baker’s open hand,"Close-up – boy’s nod, softened expression"
11,Bakery Kitchen – rustic wooden table,"Baker, Boy","Enter kitchen, apron by door",Warm tactile intimacy,Wide – establishing the kitchen,Close-up – boy’s curious gaze at tools
12,Bakery Kitchen,"Baker, Boy",Preparing ingredients,Domestic golden warmth,"Insert – eggs cracking, flour pouring","Side shot – baker’s hands mixing, boy in frame edge"
13,Bakery Kitchen,"Baker, Boy",Kneading,"Tactile rhythm, golden dust","Wide – baker kneading, boy watching","Close-up – dough stretching, boy’s eyes wide"
14,Bakery Kitchen,"Baker, Boy",Resting dough,"Warm hush, time passing",Medium – baker covering dough,Close-up – boy watching towel settle
15,Bakery Kitchen,"Baker, Boy","Boy asks, baker explains","Intimate, soft tones",Two-shot – boy leaning forward,Insert – baker’s hand gesture explaining
16,Oven Room – glowing brick oven,"Baker, Boy",Dough placed in oven,"Orange firelight glow, magical shimmer",Wide – baker sliding pan in,Close-up – oven mouth with flames
17,Oven Room,"Baker, Boy",Both watch oven,Firelight on faces,Side two-shot,Reflection in boy’s eyes
18,Oven Room,"Baker, Boy","Bread rising, crust forming","Warm glow, magical moment",Wide – bread swelling in oven,"Close-up – crust cracking, steam rising"
19,Oven Room,"Baker, Boy",Baker explains miracle,Sacred warmth,Medium – baker’s smile,Insert – bread glowing in beam of light
20,Bakery Interior,"Baker, Boy",Gift of bread,Amber safe tones,Medium – bread passed between hands,Close-up – boy clutching loaf to chest
21,"Alley (narrow, gray-blue)",Boy,Boy eats alone,Cool harsh shadows,Wide – boy crouched by crates,Overhead – bread breaking in boy’s hands
22,Village Square,"Policeman, Boy, Baker, Crowd",Arrest scene,"Neutral daylight, tense",Wide – policeman seizing boy,Tracking – baker pushing through villagers
23,Village Square,"Baker, Policeman","Baker asks, policeman replies",Harsh midday light,Medium – confrontation,"Over-shoulder policeman, baker tense"
24,Police Station interior,"Baker, Boy, Policeman","Boy led inside, baker follows",Cold gray dim light,Tracking – baker following,Wide – boy’s small figure led down hall
25,Jail Cell – barred light,"Boy, Baker, Jailer",Baker speaks quietly to boy,Cool pale dim,Wide – baker framed by bars,Close-up – boy’s face with barred shadows
26,Jail Cell,"Boy, Baker",Boy’s confession,Sparse intimate darkness,Two-shot – hunched boy,Insert – boy’s clenched hands
27,Courtroom – rustic hall,"Judge, Boy, Baker, Clerks",Trial begins,"Cold gray, echoing space",Wide – boy before judge,High angle – boy dwarfed by hall
28,Courtroom,"Baker, Judge",Baker alone at back,Cold severe,Wide – empty benches,Close-up – baker’s isolated silhouette
29,Courtroom,"Judge, Boy",Verdict & sentence,"Harsh echo, finality",Medium – judge stern,Insert – gavel slamming
30,Jail Cell – candlelit night,"Boy, Baker",Final visit,Candlelight vs. cold stone,Wide – baker enters with loaf,Close-up – candle illuminating tears
31,Jail Cell,"Boy, Baker","Boy cries, baker comforts",Warm/cold contrast,Medium – baker consoling,Close-up – boy’s trembling face
32,Jail Cell (symbolic beat),"Boy, Baker",Bread rising metaphor,"Candle glow, soft haze",Insert – bread in baker’s hands,Creative dissolve – oven flames overlaid
33,Prison Yard – dawn,"Boy, Guards, Baker, Villagers",Final walk to execution,"Pale dawn, cool shifting to gold",Wide – boy escorted,Low angle – boy framed against pale sky
34,Prison Yard,"Boy, Baker",Final blessing,Dawn radiant,Wide – boy framed against sunrise,Close-up – baker’s whispered “Amen”
