shot_no,variation_no,prompt
1,1,"Slow dolly-in along the quiet street as dust motes drift through slanted sunbeams; the baker’s steps are weighty and measured, hat brim catching light, while long shadows scroll across cobbles; hold 2s on the hanging sign before cutting."
1,2,"walk 3 steps, then stop walking [Pull out,Tracking shot], angry face, pointing out someone"
2,1,"Wide establishing shot as chaos erupts; multiple children swarm the boy in violent motion; camera stays steady while shadows dance; dust kicks up in harsh alley light."
2,2,Push-in from the wall toward the huddled boy; attacking limbs enter and cross frame as foreground silhouettes; dust motes flicker in a hard light slice high on the wall; brief rack-focus from fists to the boy's trembling hands.
3,1,Hard stop on the baker stepping between them; he raises his arm and shouts as the camera swings to reveal the bullies breaking and fleeing; let their footsteps Doppler away while dust settles in shafts of light.
3,2,baker pointing at the bullies; bullies run away; the boy sits on the street hugging himself
4,1,"baker comfort the boy, at the back the bullies are running away."
4,2,"the baker comfort the boy, tears falling"
5,1,"baker put around his hand on the boy's shoulder, then go inside the bakery"
5,2,Over-shoulder follow on the boy entering; parallax reveals cozy clutter; the baker leads frame right; slight parallax pan across baskets and beams; ease to a stop on the counter.
6,1,"baker talking, boy listens [Push in]"
6,2,"boy looks at the baker talking, then looks down again with a sad face [Push in]"
7,1,boy wipes his eyes with his left hand
7,2,"Side profile: a slow, respectful dolly that catches his confession; hands pull inward as light brushes his cheek; cut as he finishes ‘I’m alone.’"
8,1,baker looks at the boy then taps his shoulder
8,2,baker comforts the boy [Push in]
9,1,kids looking at each other
9,2,kids begging some money [Push in]
10,1,baker talking; boy looking at him [Push in]
10,2,"baker talking; boy reaches out for baker's hand, then looks at him [Push in]"
11,1,baker gets some baking supplies; boy just looks at him
11,2,boy and baker walk slowly in front of the table
12,1,"Two-shot at the table: flour pours in a soft arc; minor slow-motion accent as grains hang in sunlight; the boy leans in, catching the ‘magic’ of the moment."
12,2,mix the ingredients into the bowl using the spoon beside the bowl
13,1,"mix the ingredients into the bowl using the spoon beside the bowl, boy just watches"
13,2,"baker sprinkles some flour then kneading the dough, boy just watching only"
14,1,THE BAKER COVERS THE DOUGH WITH THE WHITE CLOTH; BOY IS TALKING
14,2,BAKER COVERS THE DOUGH WITH THE CLOTH
15,1,THE BAKER REMOVES THE WHITE CLOTH; THE DOUGH SLOWLY RISES; BOY LOOKS WITH AMAZEMENT
15,2,BAKER TALKING; BOY IS LISTENING CAREFULLY
16,1,the baker slowly puts the pan into the fire oven; the boy watches quietly
16,2,"Action insert at the oven lip; the loaf glides in, heat shimmer warps the air; the boy’s clenched hands enter background, then loosen slightly."
17,1,"Two-shot in firelight: both lean toward the glow; subtle mirror in posture; camera creeps closer as the light pulses; silence, save for the oven’s breath."
17,2,Paired profile close-up: oven glow paints orange edges; a delicate rack shifts attention from baker’s calm to boy’s awe; hold for wonder.
18,1,the bread is cooking slowly
18,2,the baker and the boy watching the bread cooking slowly
19,1,"the baker is talking, showing the newly cooked bread; boy is smiling"
19,2,Close dialogue: warm light dances across expressions; the baker’s words are gentle; the boy’s lips part as understanding dawns; dissolve to offering.
20,1,"Medium exchange: the baker offers; the boy receives with shaking hands; slight slow-in at the touch; music swells, then resolves warmly."
20,2,"the baker gives the bread to the boy, smiling"
21,1,the boy bites the loaf; shoulders drop in relief; a faint warm rim glows at the alley mouth.
21,2,"Close, handheld micro-sways: he eats hungrily, eyes wet; crumbs fall to cobbles; gray-blue atmosphere lifts briefly as an amber edge kisses his cheek."
22,1,the policeman’s grip tightens; the boy recoils; the baker leans in with a plea; cut on the officer’s terse command.
22,2,Medium struggle: the policeman’s grip tightens; the boy recoils; the baker leans in with a plea; cut on the officer’s terse command.
23,1,baker talking; boy looks at the baker; policeman takes the boy into the police car; people whisper in the background
23,2,policeman is talking; boy looks at him and to the baker [Static shot]
24,1,"POLICE AND BOY ARE WALKING [Pull out, Tracking shot]"
24,2,"Narrow insert: the boy’s collar slips from his shoulder as the officer guides him; the baker’s profile edges in, eyes determined; cut on door latch."
25,1,BAKER TALKS TO THE BOY [Push in]
25,2,"Close: the boy trembles, gripping knees; the baker’s hand rests on the bars, light catching the knuckles; a soft, comforting murmur bridges the space."
26,1,Two-shot at cot level: the baker crouches to listen; the boy confesses between halting breaths; barred shadows crawl across them as time seems heavy.
26,2,Tight confession: rack between the boy’s shaking lips and the baker’s steady hand on the cot; a single tear drops; hold then cut.
27,1,"Courtroom wide: slow crane up to reveal the vast chamber; the boy stands alone below the bench; sound blooms with a cold, echoing reverb."
27,2,High-angle isolation: drift overhead to center the boy; benches and figures recede; light shafts divide the space like judgment.
28,1,"Pan across empty benches to the lone baker; he clasps his hands and stares forward; the distant judge’s voice bleeds in, muffled."
28,2,baker puts his hand on his face in disappointment [Push in]
29,1,"Medium on the judge delivering sentence; the boy slumps in lower frame; a hard, top-down light sharpens edges; gavel hand rises."
29,2,judge hits the gavel; boy cries in the background
30,1,"Candlelit entrance: the baker steps in with a fresh loaf; flame flickers against cold stone; the boy looks up, eyes catching the warm glow."
30,2,Close offering: hands extend bread across the tiny flame; shadows dance over their faces; a fragile pause holds before the boy reaches.
31,1,the baker gives bread to the crying boy
31,2,"the boy crying, the hands of the baker comfort him [Push in]"
32,1,Symbolic overlay: the cell darkens as a glowing vision of rising dough and flame blooms around them; the bread’s steam halos their faces.
32,2,Insert metaphoric: the loaf glows softly in the baker’s hands; the boy’s uplifted face reflects in its sheen; oven light washes the stone away.
33,1,"Dawn yard procession: steady lateral track as the boy walks between guards; the baker stands aside, still; pink-gold rays crest the walls and stretch long shadows."
33,2,the policemen walk away with the boy; the baker slowly wipes his eyes
34,1,"Final wide: the boy faces sunrise, serene through tears; the baker folds hands as in prayer; the sky blooms and bathes them in soft radiance."
34,2,baker praying; the boy slowly fades away
